product_image,source_section,nutrient_name_raw,nutrient_name_standard,amount_raw,amount,unit_raw,unit,serving_context,parsing_method,confidence,notes
product_03.png,vision_extraction,Shiitake Mushroom,shiitake_mushroom,103,103.0,mg,mg,per_serving,vision_llm,high,
product_03.png,vision_extraction,Maitake Mushroom,maitake_mushroom,94,94.0,mg,mg,per_serving,vision_llm,high,
product_03.png,vision_extraction,Elderberry,elderberry,94,94.0,mg,mg,per_serving,vision_llm,high,
product_03.png,vision_extraction,Ginger,ginger,50,50.0,mg,mg,per_serving,vision_llm,high,
product_03.png,vision_extraction,Thyme,thyme,47,47.0,mg,mg,per_serving,vision_llm,high,
product_03.png,vision_extraction,Vitamin C,vitamin_c,75,75.0,mg,mg,per_serving,vision_llm,high,
product_01.png,vision_extraction,Vitamin B12,vitamin_b12,1000,1000.0,mcg,µg,per_serving,vision_llm,high,Unexpected unit 'µg' (expected 'mg')
product_01.png,vision_extraction,Vitamin D3,vitamin_d,50,50.0,mcg,µg,per_serving,vision_llm,high,
product_01.png,vision_extraction,Lion's Mane,lions_mane,600,600.0,mg,mg,per_serving,vision_llm,high,
product_01.png,vision_extraction,Ashwagandha,ashwagandha,300,300.0,mg,mg,per_serving,vision_llm,high,
product_01.png,vision_extraction,L-Theanine,l_theanine,150,150.0,mg,mg,per_serving,vision_llm,high,
product_01.png,vision_extraction,Bacopa,bacopa,200,200.0,mg,mg,per_serving,vision_llm,high,
product_01.png,vision_extraction,Guarana,guarana,100,100.0,mg,mg,per_serving,vision_llm,high,
product_10.png,vision_extraction,Vitamin B12,vitamin_b12,1000,1000.0,mcg,µg,per_serving,vision_llm,high,Unexpected unit 'µg' (expected 'mg')
product_10.png,vision_extraction,Vitamin D3,vitamin_d,50,50.0,mcg,µg,per_serving,vision_llm,high,
product_10.png,vision_extraction,Lion's Mane (Hericium erinaceus) 10:1,lions_mane,600,600.0,mg,mg,per_serving,vision_llm,high,
product_10.png,vision_extraction,Ashwagandha KSM-66®,ashwagandha,300,300.0,mg,mg,per_serving,vision_llm,high,
product_10.png,vision_extraction,L-Theanine,l_theanine,150,150.0,mg,mg,per_serving,vision_llm,high,
product_10.png,vision_extraction,Bacopa Monnieri (45% Bacosides),bacopa_monnieri,200,200.0,mg,mg,per_serving,vision_llm,high,
product_10.png,vision_extraction,Guarana (22% Caffeine),guarana,100,100.0,mg,mg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Vitamin D3,vitamin_d,10,10.0,µg,µg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Vitamin E,vitamin_e,2.5,2.5,mg,mg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Vitamin C,vitamin_c,25,25.0,mg,mg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Thiamin (Vitamin B1),vitamin_b1,0.7,0.7,mg,mg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Riboflavin (Vitamin B2),vitamin_b2,0.8,0.8,mg,mg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Niacin (as niacinamide),vitamin_b3,5,5.0,mg,mg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Vitamin B6,vitamin_b6,1.4,1.4,mg,mg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Folic Acid (as Folate),folic_acid,100,100.0,µg,µg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Vitamin B12 (as methylcobalamin),vitamin_b12,5,5.0,µg,µg,per_serving,vision_llm,high,Unexpected unit 'µg' (expected 'mg')
product_07.jpg,vision_extraction,Biotin,vitamin_b7,75,75.0,µg,µg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Pantothenic Acid (Vitamin B5),pantothenic_acid,3,3.0,mg,mg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Vitamin K2 (as menaquinone-7),vitamin_k2,20,20.0,µg,µg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Iron,iron,4.2,4.2,mg,mg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Zinc,zinc,1.5,1.5,mg,mg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Copper,copper,250,250.0,µg,µg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Magnesium,magnesium,55,55.0,mg,mg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Manganese,manganese,0.3,0.3,mg,mg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Selenium,selenium,30,30.0,µg,µg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Chromium (G.T.F.),chromium,30,30.0,µg,µg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Iodine,iodine,57,57.0,µg,µg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Molybdenum,molybdenum,15,15.0,µg,µg,per_serving,vision_llm,high,
product_07.jpg,vision_extraction,Beta Carotene,beta_carotene,500,500.0,µg,µg,per_serving,vision_llm,high,
product_09.png,vision_extraction,Energy,calories,84,84.0,kJ,kJ,per_serving,vision_llm,high,Unexpected unit 'kJ' (expected 'cal')
product_09.png,vision_extraction,Energy,calories,20,20.0,kcal,kcal,per_serving,vision_llm,high,
product_09.png,vision_extraction,Carbohydrate,total_carbohydrate,4,4.0,g,g,per_serving,vision_llm,high,
product_09.png,vision_extraction,Of which sugars,total_sugars,0,0.0,g,g,per_serving,vision_llm,high,Zero amount (may be 'Not a significant source')
product_09.png,vision_extraction,Salt,salt,0.0375,0.0375,g,g,per_serving,vision_llm,high,
product_09.png,vision_extraction,Potassium,potassium,120,120.0,mg,mg,per_serving,vision_llm,high,
product_09.png,vision_extraction,Calcium,calcium,30,30.0,mg,mg,per_serving,vision_llm,high,
product_09.png,vision_extraction,Iron,iron,0.8,0.8,mg,mg,per_serving,vision_llm,high,
product_09.png,vision_extraction,Organic Wheat Grass Powder (North America),wheat_grass_powder,3000,3000.0,mg,mg,per_serving,vision_llm,high,
product_09.png,vision_extraction,Organic Alfalfa Leaf Powder (North America),alfalfa_leaf_powder,1000,1000.0,mg,mg,per_serving,vision_llm,high,
product_09.png,vision_extraction,Matcha Tea Leaf Powder (Japan),matcha_tea_leaf_powder,750,750.0,mg,mg,per_serving,vision_llm,high,
product_09.png,vision_extraction,Tart Cherry Skin,tart_cherry_skin,250,250.0,mg,mg,per_serving,vision_llm,high,
product_09.png,vision_extraction,Organic Jerusalem Artichoke Root Inulin,inulin,500,500.0,mg,mg,per_serving,vision_llm,high,
